faixa,n,score_medio,fake_real
0.3-0.4,22,0.383,0.5455
0.4-0.5,226,0.4596,0.6018
0.5-0.6,539,0.5566,0.7458
0.6-0.7,235,0.6339,0.8468
0.7-0.8,2,0.705,1.0
