faixa,n,score_medio,fake_real
0.0-0.1,928,0.0387,0.0453
0.1-0.2,342,0.1512,0.2602
0.2-0.3,628,0.2564,0.379
0.3-0.4,1059,0.356,0.4627
0.4-0.5,1397,0.4487,0.5369
0.5-0.6,982,0.5485,0.6619
0.6-0.7,846,0.6497,0.7553
0.7-0.8,931,0.7519,0.841
0.8-0.9,1629,0.8569,0.922
0.9-1.0,4919,0.9517,0.9823
