cut,chave,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel
group,FC_POLIGRAFO,45,14,68.9,0.6666666666666666,0.5619727449707982,0.7761194029850746,0.6105990783410138,0.7345961811015997,0.20114702940154694,False
channel,external_claim,35,16,45.7,0.5142857142857142,0.47111111111111115,0.32,0.611842105263158,0.6082864618020869,0.015294818705050874,False
channel,agency_claim,45,14,68.9,0.6666666666666666,0.5619727449707982,0.7761194029850746,0.6105990783410138,0.7345961811015997,0.20114702940154694,False
publisher,desconhecido,48,20,41.7,0.5,0.4991304347826087,0.52,0.5696428571428571,0.4706131019339372,0.04634133096404732,False
publisher,poligrafo,45,14,68.9,0.6666666666666666,0.5619727449707982,0.7761194029850746,0.6105990783410138,0.7345961811015997,0.20114702940154694,False
era,sem_data,56,23,41.1,0.5178571428571429,0.4903943377148635,0.37209302325581395,0.5573122529644268,0.46269175300511045,0.023371790619372435,False
era,2018-2022,45,19,57.8,0.5555555555555556,0.5,0.6666666666666666,0.6194331983805668,0.6865034987176603,0.06446970696426073,False
label_tier,v1,48,20,41.7,0.5,0.4991304347826087,0.52,0.5696428571428571,0.4706131019339372,0.04634133096404732,False
label_tier,checker,80,33,58.8,0.6,0.5907928388746804,0.6521739130434783,0.6640876853642811,0.7027903786961767,0.1166076498910703,False
