faixa,n,score_medio,fake_real
0.1-0.2,2,0.1314,0.5
0.2-0.3,11,0.2614,0.4545
0.3-0.4,55,0.3623,0.5273
0.4-0.5,152,0.457,0.5066
0.5-0.6,246,0.5542,0.6748
0.6-0.7,284,0.6495,0.7711
0.7-0.8,217,0.7474,0.9171
0.8-0.9,57,0.8204,0.9649
