cut,group,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel,channel,publisher,era,label_tier
group,FC_POLIGRAFO,41,14,65.9,0.6585365853658537,0.39705882352941174,0.7941176470588235,0.5582010582010581,0.7495436907499151,0.0888875013250637,False,,,,
channel,,41,14,65.9,0.6585365853658537,0.39705882352941174,0.7941176470588235,0.5582010582010581,0.7495436907499151,0.0888875013250637,False,agency_claim,,,
channel,,37,16,43.2,0.5405405405405406,0.518007662835249,0.41379310344827586,0.6577380952380952,0.5292252880843413,0.13126347496805935,False,external_claim,,,
publisher,,41,14,65.9,0.6585365853658537,0.39705882352941174,0.7941176470588235,0.5582010582010581,0.7495436907499151,0.0888875013250637,False,,poligrafo,,
publisher,,50,24,48.0,0.54,0.47987336047037543,0.6567164179104478,0.5977564102564102,0.5758146903063769,0.037439551910472664,False,,desconhecido,,
era,,59,24,40.7,0.5084745762711864,0.5062049062049062,0.5396825396825397,0.5785714285714286,0.4629632781392506,0.07605232109945087,False,,,sem_data,
era,,42,16,61.9,0.6428571428571429,0.5906432748538011,0.7368421052631579,0.6538461538461539,0.7793036535410831,0.0780191250061789,False,,,2018-2022,
label_tier,,50,24,48.0,0.54,0.47987336047037543,0.6567164179104478,0.5977564102564102,0.5758146903063769,0.037439551910472664,False,,,,v1
label_tier,,78,35,55.1,0.6025641025641025,0.5774943211602307,0.6804123711340206,0.6498338870431895,0.6945177844042794,0.09779018348222893,False,,,,checker
