cut,group,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel,channel,publisher,era,label_tier
group,EXT_AVERITECBR,95,34,64.2,0.3894736842105263,0.3267350928641251,0.12121212121212122,0.6846673095467696,0.7570711835124116,0.20856327150942183,False,,,,
group,EXT_LIARBR,200,79,39.5,0.615,0.40400170285227754,0.04938271604938271,0.6146040380792971,0.5240623204383363,0.02619229616896048,True,,,,
group,FC_POLIGRAFO,303,121,60.1,0.5907590759075908,0.41220275344180224,0.7361702127659574,0.6718281718281718,0.7519735811383041,0.11603815152601323,True,,,,
group,COVID19.BR,52,20,38.5,0.5961538461538461,0.5772357723577235,0.4878048780487805,0.6203124999999999,0.4893300478932811,0.05933248247019621,False,,,,
group,FakeWhatsApp.BR_2018,146,70,47.9,0.5821917808219178,0.5821721792165142,0.5850340136054422,0.6571428571428571,0.644220576296892,0.07816981347960604,True,,,,
group,Fake.br,208,95,54.3,0.6634615384615384,0.6614583333333333,0.6354166666666666,0.76059618071728,0.7787427273063858,0.0693213299452963,True,,,,
channel,,295,140,47.5,0.5423728813559322,0.38844612337034135,0.08163265306122448,0.6758986175115207,0.6396553596327511,0.08212498666581368,True,external_claim,,,
channel,,303,121,60.1,0.5907590759075908,0.41220275344180224,0.7361702127659574,0.6718281718281718,0.7519735811383041,0.11603815152601323,True,agency_claim,,,
channel,,146,70,47.9,0.5821917808219178,0.5821721792165142,0.5850340136054422,0.6571428571428571,0.644220576296892,0.07816981347960604,True,whatsapp,,,
channel,,63,23,36.5,0.6349206349206349,0.6024691358024691,0.4888888888888889,0.6652173913043478,0.5362481302640023,0.06312079605783602,False,covid,,,
channel,,208,95,54.3,0.6634615384615384,0.6614583333333333,0.6354166666666666,0.76059618071728,0.7787427273063858,0.0693213299452963,True,portal,,,
publisher,,95,34,64.2,0.3894736842105263,0.3267350928641251,0.12121212121212122,0.6846673095467696,0.7570711835124116,0.20856327150942183,False,,ext_averitecbr,,
publisher,,200,79,39.5,0.615,0.40400170285227754,0.04938271604938271,0.6146040380792971,0.5240623204383363,0.02619229616896048,True,,ext_liarbr,,
publisher,,303,121,60.1,0.5907590759075908,0.41220275344180224,0.7361702127659574,0.6718281718281718,0.7519735811383041,0.11603815152601323,True,,poligrafo,,
publisher,,426,210,49.3,0.6338028169014085,0.631455190771961,0.6020408163265306,0.6986552028218695,0.6769138647071776,0.05059474223891907,True,,desconhecido,,
era,,169,76,55.0,0.5384615384615384,0.39174972314507195,0.6904761904761905,0.6806734578381437,0.7290633107224077,0.15156254065239208,True,,,>=2023,
era,,370,155,58.1,0.5648648648648649,0.5550326797385621,0.6211764705882353,0.6291972993248314,0.7006226143347305,0.07862055329398873,True,,,2018-2022,
era,,481,220,45.7,0.6403326403326404,0.5992535336752631,0.4709480122324159,0.6966736328805294,0.6547217634364991,0.02960034955926774,True,,,sem_data,
label_tier,,598,276,53.8,0.5668896321070234,0.5664519668684901,0.580226904376013,0.650159780358268,0.686318757741127,0.09673549702625461,True,,,,checker
label_tier,,426,210,49.3,0.6338028169014085,0.631455190771961,0.6020408163265306,0.6986552028218695,0.6769138647071776,0.05059474223891907,True,,,,v1
