faixa,n,score_medio,fake_real
0.2-0.3,15,0.2835,0.0667
0.3-0.4,312,0.3574,0.3494
0.4-0.5,220,0.4418,0.5682
0.5-0.6,152,0.5562,0.5526
0.6-0.7,165,0.6496,0.5697
0.7-0.8,148,0.7442,0.7365
0.8-0.9,12,0.813,0.8333
