cut,chave,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel
channel,agency_claim,81,5,93.8,0.4567901234567901,0.3769230769230769,0.6,0.6789473684210526,0.9718577535769307,0.1784572304267928,False
publisher,desconhecido,58,23,60.3,0.5517241379310345,0.5316770186335403,0.6285714285714286,0.5403726708074534,0.650528465303793,0.0747326420365603,False
era,>=2023,31,4,87.1,0.25806451612903225,0.2549634273772205,0.30303030303030304,0.5555555555555556,0.9052234192691904,0.364493975517437,False
era,2018-2022,66,20,69.7,0.5303030303030303,0.4878598247809762,0.6352941176470588,0.5021739130434782,0.7306294524212565,0.10573963582395741,False
label_tier,checker,62,9,85.5,0.45161290322580644,0.4302702702702703,0.5405405405405406,0.7127882599580713,0.9401690129485842,0.23488179214635901,False
label_tier,v1,58,23,60.3,0.5517241379310345,0.5316770186335403,0.6285714285714286,0.5403726708074534,0.650528465303793,0.0747326420365603,False
