faixa,n,score_medio,fake_real
0.0-0.1,1,0.0428,0.0
0.1-0.2,1,0.1569,1.0
0.2-0.3,8,0.2504,0.75
0.3-0.4,30,0.3542,0.7
0.4-0.5,30,0.4538,0.7333
0.5-0.6,21,0.5556,0.7143
0.6-0.7,22,0.6508,0.6818
0.7-0.8,14,0.735,0.9286
0.8-0.9,1,0.8692,1.0
