cut,group,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel,channel,publisher,era,label_tier
group,FakeWhatsApp.BR_2018,128,61,47.7,0.5234375,0.4335050424435899,0.659217877094972,0.5718130658184488,0.5215611360148651,0.025467709161134312,True,,,,
channel,,128,61,47.7,0.5234375,0.4335050424435899,0.659217877094972,0.5718130658184488,0.5215611360148651,0.025467709161134312,True,whatsapp,,,
publisher,,128,61,47.7,0.5234375,0.4335050424435899,0.659217877094972,0.5718130658184488,0.5215611360148651,0.025467709161134312,True,,desconhecido,,
era,,128,61,47.7,0.5234375,0.4335050424435899,0.659217877094972,0.5718130658184488,0.5215611360148651,0.025467709161134312,True,,,2018-2022,
label_tier,,128,61,47.7,0.5234375,0.4335050424435899,0.659217877094972,0.5718130658184488,0.5215611360148651,0.025467709161134312,True,,,,v1
